collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主察,9,0,2,1.8227589161824835,5.55501801928105,店主,1872-1894,2-gram,0.9300403017464091,9677,4
店主弟,6,0,2,1.8036576698926363,4.549048047597727,店主,1872-1894,2-gram,0.6200268678309394,9677,3
適店主,20,0,2,1.7854091294896115,7.987273943811886,店主,1872-1894,2-gram,2.066756226103131,9677,5
傳押店主,5,0,3,1.7581757905751774,2.898457240355154,店主,1872-1894,3-gram,0.5166890565257828,9677,3
死店主,20,0,2,1.7202431803125249,7.700483582179365,店主,1872-1894,2-gram,2.066756226103131,9677,4
當時店主,9,0,2,1.7079637366302758,5.211065886000408,店主,1872-1894,2-gram,0.9300403017464091,9677,5
店主急,18,0,2,1.6733409863974722,7.120046939875393,店主,1872-1894,2-gram,1.8600806034928181,9677,4
店主子,23,0,2,1.6513716814883659,7.91686001028643,店主,1872-1894,2-gram,2.376769660018601,9677,3
店主案核,18,0,3,1.6427854733894205,4.367517566939777,店主,1872-1894,3-gram,1.8600806034928181,9677,3
店主鳴,7,0,2,1.6262839826214637,4.4126626419623625,店主,1872-1894,2-gram,0.7233646791360959,9677,4
店主虧欠,5,0,2,1.5723337125530827,3.6557806098776187,店主,1872-1894,2-gram,0.5166890565257828,9677,3
店主囑,14,0,2,1.5559429131425717,5.869346785140669,店主,1872-1894,2-gram,1.4467293582721918,9677,3
店主命,24,0,2,1.5482170783421711,7.58419629657535,店主,1872-1894,2-gram,2.4801074713237576,9677,3
枚店主,5,0,2,1.5463598608229567,3.596207385454852,店主,1872-1894,2-gram,0.5166890565257828,9677,4
一面店主,6,0,2,1.5449803721544506,3.9056446630448676,店主,1872-1894,2-gram,0.6200268678309394,9677,4
店主恐,18,0,2,1.4170860912737404,6.041674320538145,店主,1872-1894,2-gram,1.8600806034928181,9677,3
店主肯,12,0,2,1.3842379169586083,4.8551629115372235,店主,1872-1894,2-gram,1.2400537356618788,9677,3
迨店主,6,0,2,1.3085141326562932,3.3132756615313883,店主,1872-1894,2-gram,0.6200268678309394,9677,4
答店主,28,0,2,1.2986239513950473,6.870195361886567,店主,1872-1894,2-gram,2.8934587165443837,9677,3
店主案,107,0,2,1.2916697253282488,13.163338509261338,店主,1872-1894,2-gram,11.05714580965175,9677,3
歇店主,5,0,2,1.2895681895393842,3.0042966736029806,店主,1872-1894,2-gram,0.5166890565257828,9677,3
奉店主,12,0,2,1.2841661046876638,4.50707076340752,店主,1872-1894,2-gram,1.2400537356618788,9677,3
命店主,18,0,2,1.2672772896891682,5.408169371547784,店主,1872-1894,2-gram,1.8600806034928181,9677,4
告店主,12,0,2,1.2611265975768031,4.4268106308482675,店主,1872-1894,2-gram,1.2400537356618788,9677,5
問店主,53,0,2,1.234471448718256,8.928046043935613,店主,1872-1894,2-gram,5.476903999173298,9677,4
晨店主,8,0,2,1.2189294028724262,3.5306062930968554,店主,1872-1894,2-gram,0.8267024904412524,9677,4
時店主,58,0,2,1.2120391458907722,9.162639929293128,店主,1872-1894,2-gram,5.99359305569908,9677,4
交店主,52,0,2,1.1888521538325665,8.520390776345394,店主,1872-1894,2-gram,5.373566187868141,9677,4
店主學徒,7,0,2,1.1799607871449074,3.211375455818772,店主,1872-1894,2-gram,0.7233646791360959,9677,3
夥店主,25,0,2,1.176465142734496,5.893159432406425,店主,1872-1894,2-gram,2.583445282628914,9677,3
店主女,10,0,2,1.16937103941224,3.764701406708208,店主,1872-1894,2-gram,1.0333781130515656,9677,3
傷店主,15,0,2,1.1467652569938611,4.483911685759339,店主,1872-1894,2-gram,1.5500671695773482,9677,4
店主投,26,0,2,1.0982475017796385,5.6098162871189405,店主,1872-1894,2-gram,2.6867830939340704,9677,4
店主知,76,0,2,1.0806107099772433,9.330468185350204,店主,1872-1894,2-gram,7.853673659191897,9677,3
店主案訊,22,0,3,1.0684300421010997,3.319307889458048,店主,1872-1894,3-gram,2.2734318487134444,9677,3
店主店夥,7,0,2,1.0510375919781203,2.862374472560145,店主,1872-1894,2-gram,0.7233646791360959,9677,4
店主認,11,0,2,1.022349239093284,3.4467118219060002,店主,1872-1894,2-gram,1.1367159243567222,9677,3
悉店主,9,0,2,1.0149438557561052,3.110785480835518,店主,1872-1894,2-gram,0.9300403017464091,9677,4
